Day,Sent,Received,Total
2012-09-24,1.4,6.2,7.6
2012-09-25,1.6,6.8,8.4
2012-09-26,2.0,8.7,10.7
2012-09-27,3.2,15.9,19.1
2012-09-28,5.4,35.6,41
2012-09-29,,,0
2012-09-30,,,0
2012-10-01,,,0
2012-10-02,,,0
2012-10-03,,,0
2012-10-04,,,0
2012-10-05,,,0
2012-10-06,,,0
2012-10-07,,,0
2012-10-08,,,0
2012-10-09,,,0
2012-10-10,,,0
2012-10-11,,,0
2012-10-12,,,0
2012-10-13,,,0
2012-10-14,,,0
2012-10-15,,,0
2012-10-16,,,0
2012-10-17,,,0
2012-10-18,,,0
2012-10-19,,,0
2012-10-20,,,0
2012-10-21,,,0
2012-10-22,,,0
2012-10-23,,,0